text_id,text
167,nachahmen von kohlensäure
168,imitiert eine gestresste person
169,imitiert erstickungs oder schreck geräusch
170,imitiert angst geräusch von jemandem
171,imitiert ostschweizer dialekt
172,imitiert jemanden
173,räuspert sich theatralisch
174,verstellt stimme
175,macht anderen dialekt nach
176,ahmt ostschweizer dialekt nach
177,imitiert eine art explosion
178,:ahmt person beim sprechen nach
179,verneinung
180,äfft jemanden nach
181,äfft lachen von jemandem nach
182,ahmt ziege nach
183,ahmt lachen nach
184,buchstabiert
185,lacht am anfang der aussage
186,imitiert lachen
187,einatmen
188,ahmt heidi klum nach
189,repetiert was im video gesagt wird
190,imitiert lachen aus dem video
191,:imitiert lachen aus dem video
192,macht schuss geräusch nach
193,geräusch mit zunge
194,essen und lachen
195,leises lachen
196,lacht und isst
197,zieht wörter in die länge
198,räuspert sich
199,wenn
200,:mir bruche hie uszit
201,lacht und seufzt
202,isst
203,:starkes schnürfeln
204,singt unverständlich
205,klatschen
206,:schockiert nach luft schnappen
207,räuspern
208,cha als genervte interjektion
209,lacht und atmet ein
210,betont das wort film
211,:mischung aus räuspern und lachen
212,schnürfelt
213,lacht und brummelt (unverständlich)
214,hallo leute ist imitation von jemandem
215,ahmt jemanden sehr leise nach
216,imitiert schrei
217,äfft jemanden aus dem video nach
218,lachendes räuspern
219,schnappt nach luft
220,ausatmen bei der aussage
221,leises singen
222,essend
223,starkes lachen
224,(SCHLIESST REISSVERSCHLUSS)
225,(LAUTE HINTERGRUNDGERÄUSCHE)
226,(LACHT LAUT)
227,LACHT
228,(NICHT IDENTIFIZIERBARES HINTERGRUNDGERÄUSCH)
229,(ekelhaft)
230,(eich) = eigentlich
231,(ZUSTIMMEND)
232,(VERSTEHEND)
233,(LACHEND)
234,(BEWUNDERND)
235,(IRONSCH)
236,(LAUTES LACHEN)
237,(LACHT KÜNSTLICH)
238,(ZUM GLEICHEN PASSANTEN)
239,(LIED DES KÜNSTLERS SKEPTA LÄUFT IM HINTERGRUND)
240,(AUSFALLENDE REAKTION AUF DEN SONG)
241,(BUCHSTABIERT)
242,(ATMET LAUT EIN)
243,(LAUTE MUSIK IM HINTERGRUND)
244,(HANDY VIBRIERT)
245,(SINGEN DIE LYRICS GEMEINSAM)
246,(kurz für family)
247,(LEICHTES HUSTEN)
248,(NICHT IDENTIFIZIERBARES GERÄUSCH)
249,(SINGT)
250,(VERNEINDEND)
251,(BG=bildnerisches gestalten)
252,(SCHREIT UNVERSTÄNDLICH)
253,(bildnerisches gestalten)
254,(ZWEIFELND)
255,(VERMUTLICH KURZ FÜR HOME PARTY)
256,(SCHLIESST TRINKFLASCHE)
257,(singend)
258,(ZU EINEM PASSANTEN)
259,(NAME DES LIEDES)
260,(ANDERES LIED IM HINTRGRUND)
261,(ZUR MUSIK)
262,(SINGT SONGTEXTE MIT)
263,(SINGT WEITERHIN LYRICS)
264,(SINGT DEN REFRAIN WEITER MIT)
265,(LIED WIRD ABGESTELLT)
266,(LIED LÄUFT IM HINTERGRUND)
267,(SINGT EIN LIED VOR)
268,(SPIELT LIED VON APACHE)
269,(SPIELT LIED AB)
270,(SPIELT EIN ANDERES LIED VON BLACK EYED PEAS)
271,(chlatsch = high)
272,(HOHE STIMMLAGE)
273,(GP 2 STÖSST DAZU)
274,(SINGEND)
275,(VERNEINEND)
276,(SINGT DIE LYRICS DES SONGS MIT)
277,(IMITIERT BÜNDNER DIALEKT)
278,(SPIELT LIED VON SEEED)
279,(SPIELT EIN ANDERES LIED AB)
280,(IMITIERT SEINE MUTTER)
281,(SEINE MUTTER IMITIEREND)
282,(IMITIERT KLEINKIND
283,ehm
284,atemgeräusch
285,guet befründet
286,[lachen]
287,[blabla]
288,atmet ein
289,atmet laut ein
290,atmen
291,i welere
292,scht
293,haha
294,haha atmen
295,äh
296,hä
297,mhmh
298,aha
299,hää
300,mmh
301,mmh lachen
302,lahcen
303,[...]
304,jaja
305,eh ja
306,lachen ja
307,mhm  ja
308,schtimmt
309,ja lachen
310,jaja mh
311,nei
312,pff
313,ah oh
314,m m
315,ou
316,u
317,yeah
318,ehm nei
319,ohh
320,hmm
321,wi  mit reise vrz- aso
322,schluckt
323,eh
324,ah ja  ah ja
325,aha so
326,öh
327,oh lachen
328,ja nei
329,ah ou
330,oh
331,o o
332,ehm mhm
333,mhm mhm
334,schlucken
335,aso
336,ah ja
337,[ja]
338,ih
339,lachen ehm
340,atmen ehm
341,flüstern
342,ja ehm
343,ja ja
344,oh ja
345,wosch ja irgendwie  trotzdäm
346,lachen o jöö
347,krass
348,lachen atmen
349,boah
350,Themenkarte
351,(Aussprache vom Wort 'was' lang gezogen)
352,niky = nike
353,Geste
354,(macht Weinen einer Studienkollegin nach)
355,Lehrerstimme nachgesrochen
356,leise lachend
357,((lacht))
358,"Geräusch des Verneinens, Geste"
359,Gin = Hund
360,Basler Dialekt
361,lachend
362,Nachahmung thurgauer Dialekt
363,schmunzelnd
364,ghatet = engl. hate
365,Geräusch des Verneinens
366,"Hochdeutsch, Songtext aus ""Ohne mein Team"" (Bonez Mc und Ra fCamora)"
367,Chayenne = Hündin
368,seufzend
369,russischer akzent
370,nervöses kichern
371,er macht : jo ou nüt
372,(Ort) JEGENSTORF
373,(ort) JEGENSTRORF
374,GP 2 stösst sich den Kopf an der Bar hinter ihr
375,GP 1 geht auf die Toilette
376,I kommt herein
377,[ ]
378,absolut
379,scho
380,nid so heavy
381,:ah
382,lahen
383,seb muasi mol probiara seb tpnt recht lustig
384,es git je jensti so karta spiele i wais nit
385,siedler vu katan hani auno gera gspielt
386,MUSIKER
387,COMEDIAN
388,FERNSEHMODERATOR
389,PARIS ST. GERMAIN
390,FUSSBALLSPIELER
391,BERG
392,ORT
393,atemgeräusch des erstaunens
394,zischlaut
395,schreit
396,langgezogenes ja
397,weint
398,jubeln
399,jubelt
400,atmet tief ein
401,schmerz
402,imitiert atemgeräusche der hunde
403,schmerzen
404,schnarcht
405,: ja [..] u när [.] ehm es het eifach würklech a jedem egge hets [när] dert es restaurant oder ä donut lade gä i dänke nume so ja wieso hets ds THUN ke einzige donut lade auso -
406,schneidet aus
