segment_id,char_range,frame_range,speaker_id,meta
2468145b-a31d-4b00-92a1-fd2c393b64ea,"[2767,2826)","[7885,7922)",T1_GP1,"{""sent_id"": ""a52"", ""start"": ""315.42"", ""end"": ""316.89"", ""text"": ""isch zwar eifach us (unverst\u00c3\u00a4ndlich) aber isch ja luschtig""}"
c480cf17-b794-4ad8-867b-7677e1bc527b,"[2827,2873)","[8312,8376)",T1_GP1,"{""sent_id"": ""a53"", ""start"": ""332.5"", ""end"": ""335.07"", ""text"": ""hesch du nie im sand gspiut auso (.) burg bout""}"
6d7daf0a-6af0-40d5-81b4-dd8958a59b3f,"[2874,2926)","[8383,8472)",T1_GP1,"{""sent_id"": ""a54"", ""start"": ""335.35"", ""end"": ""338.91"", ""text"": ""weisch du no womer dr wie heisst \u00c3\u00a4r dr dr pastor dr""}"
debc7837-602a-4d7d-ad38-cb1789619b7f,"[2927,2959)","[8507,8567)",T1_GP1,"{""sent_id"": ""a55"", ""start"": ""340.3"", ""end"": ""342.7"", ""text"": ""nei (.) nei aber XXX stimmt scho""}"
392da118-50ae-4abc-aeec-1f680f42f15e,"[2960,3055)","[8585,8734)",T1_GP1,"{""sent_id"": ""a56"", ""start"": ""343.41"", ""end"": ""349.39"", ""text"": ""ja genau (.) d\u00c3\u00a4 womer hei d\u00c3\u00b6rfe d sandburge beurteile u hei es (.) CARAMBAR derf\u00c3\u00bcr becho (.)""}"
670f4a92-5cb4-46ee-8d9e-8b7f761c3dd3,"[3056,3079)","[8830,8860)",T1_GP1,"{""sent_id"": ""a57"", ""start"": ""353.23"", ""end"": ""354.4"", ""text"": ""ja mir hei verlore denn""}"
258dfc63-e921-49b8-a4c6-98ad6b042b9b,"[3080,3172)","[8898,9003)",T1_GP1,"{""sent_id"": ""a58"", ""start"": ""355.92"", ""end"": ""360.14"", ""text"": ""mir heis chli verg\u00c3\u00a4 \u00c3\u00bcsi isch nid so cool gsi guet die angere hei denn so henne f\u00c3\u00b6rmli gha""}"
928e7c35-70ce-45cd-a26b-64ed5b4f06ad,"[3173,3209)","[9054,9127)",T1_GP1,"{""sent_id"": ""a59"", ""start"": ""362.18"", ""end"": ""365.09"", ""text"": ""de ha ig haut \u00c3\u00a4be o s\u00c3\u00bcsch idee gha""}"
706be61a-c84b-4304-8762-283fe49991b5,"[3210,3242)","[9161,9227)",T1_GP1,"{""sent_id"": ""a60"", ""start"": ""366.46"", ""end"": ""369.11"", ""text"": ""oder womer mit dr XXX si ga bade""}"
e8a103cf-f8ee-4181-8d1b-b91111664cf8,"[3243,3318)","[9229,9326)",T1_GP1,"{""sent_id"": ""a61"", ""start"": ""369.16"", ""end"": ""373.04"", ""text"": ""am zw\u00c3\u00b6ufi nei stimmt gar nid es isch nid mit dr XXX gsi (.) es isch mit dr""}"
1c4796eb-2ed7-45ed-883b-1bb0a9ecc78e,"[3319,3364)","[9343,9388)",T1_GP1,"{""sent_id"": ""a62"", ""start"": ""373.73"", ""end"": ""375.53"", ""text"": ""doch am zw\u00c3\u00b6ufi am abe aber (unverst\u00c3\u00a4ndlich)""}"
eb1e2d51-f295-44fe-83cf-af576d6f0d7b,"[3365,3374)","[9430,9447)",T1_GP1,"{""sent_id"": ""a63"", ""start"": ""377.23"", ""end"": ""377.91"", ""text"": ""scho guet""}"
404a1e85-ae12-4a56-9dd9-616d57a8692e,"[3375,3420)","[9489,9574)",T1_GP1,"{""sent_id"": ""a64"", ""start"": ""379.56"", ""end"": ""382.98"", ""text"": ""i weiss o nid mou mit XXX het sie XXX gheisse""}"
2587b328-9dcb-4aaf-9e25-08318c65d0e8,"[3421,3425)","[9746,9757)",T1_GP1,"{""sent_id"": ""a65"", ""start"": ""389.87"", ""end"": ""390.29"", ""text"": ""okay""}"
2746ee40-2caa-455c-b526-7af8bf284f90,"[3426,3444)","[10072,10104)",T1_GP1,"{""sent_id"": ""a66"", ""start"": ""402.9"", ""end"": ""404.18"", ""text"": ""das isch aber cool""}"
51915b46-af0a-4b71-b875-9e8f0f97dd97,"[3445,3719)","[10118,10401)",T1_GP1,"{""sent_id"": ""a67"", ""start"": ""404.73"", ""end"": ""416.05"", ""text"": ""u n\u00c3\u00a4r aber denn i weiss no denn hei mer n\u00c3\u00a4r use w\u00c3\u00b6ue u n\u00c3\u00a4r ischs duss haut viu cheuter gsi aus im meer oder u zur duschi w\u00c3\u00b6ue u n\u00c3\u00a4r hets di h\u00c3\u00a4re ah nei n\u00c3\u00a4r simer ga duusche u hei mr zr\u00c3\u00bcgg w\u00c3\u00b6ue n\u00c3\u00a4r hets di h\u00c3\u00a4regleit u n\u00c3\u00a4r simer nomau i ds meer u nomau ga duusche""}"
574b3319-43bf-481e-90af-c97abc03e59f,"[3720,3767)","[10483,10530)",T1_GP1,"{""sent_id"": ""a68"", ""start"": ""419.32"", ""end"": ""421.22"", ""text"": ""het eifach gar n\u00c3\u00bct bracht gha das duusche denn""}"
e89224b3-bafe-4423-b1dc-1a23dc5a77f5,"[3768,3836)","[10651,10761)",T1_GP1,"{""sent_id"": ""a69"", ""start"": ""426.07"", ""end"": ""430.44"", ""text"": ""nei i gloub s'isch am auso nachem (.)  abe gsi so am z\u00c3\u00a4hni oder (..)""}"
0058d26e-5e7e-4be7-866d-a11e405710e1,"[3837,3893)","[10804,10878)",T1_GP1,"{""sent_id"": ""a70"", ""start"": ""432.18"", ""end"": ""435.12"", ""text"": ""i gloub denn mau es jahr gsi woni nid chrank bi gsi hehe""}"
1e4f2925-6710-4ec9-af1e-2d03c6639fa1,"[3894,3921)","[10935,10987)",T1_GP1,"{""sent_id"": ""a71"", ""start"": ""437.43"", ""end"": ""439.49"", ""text"": ""ja i bi mehrmaus chrank gsi""}"
dd0c47f9-f94f-40f7-8e17-6b3b194df68c,"[3922,3934)","[10999,11028)",T1_GP1,"{""sent_id"": ""a72"", ""start"": ""439.96"", ""end"": ""441.15"", ""text"": ""ja zw\u00c3\u00b6i mau""}"
384ad08e-3a7f-4ac5-bd31-ae5e8c18b579,"[3935,3995)","[11042,11120)",T1_GP1,"{""sent_id"": ""a73"", ""start"": ""441.68"", ""end"": ""444.83"", ""text"": ""eifach ni fit gsi einisch u einisch hani w\u00c3\u00bcrk mage darm gha""}"
9706b761-aef9-4e95-a6e8-558db48c0e54,"[3996,3998)","[11349,11365)",T1_GP1,"{""sent_id"": ""a74"", ""start"": ""453.96"", ""end"": ""454.63"", ""text"": ""ja""}"
d30107df-9359-4d41-b9ae-c1d769da2468,"[3999,4003)","[11927,11937)",T1_GP1,"{""sent_id"": ""a75"", ""start"": ""477.08"", ""end"": ""477.5"", ""text"": ""uhem""}"
08d4e99d-139e-4639-9375-87309cff19bd,"[4004,4013)","[11958,11975)",T1_GP1,"{""sent_id"": ""a76"", ""start"": ""478.34"", ""end"": ""479.0"", ""text"": ""mi fr\u00c3\u00bcnd""}"
3281882a-ef0d-4813-b1c6-2023aaa02d9d,"[4014,4049)","[12209,12270)",T1_GP1,"{""sent_id"": ""a77"", ""start"": ""488.39"", ""end"": ""490.81"", ""text"": ""ja ja me isch ja einisch numme jung""}"
a5118ce4-4a25-4376-8965-311e91bb3444,"[4050,4067)","[12283,12333)",T1_GP1,"{""sent_id"": ""a78"", ""start"": ""491.35"", ""end"": ""493.35"", ""text"": ""(unverst\u00c3\u00a4ndlich)""}"
d9b44208-e847-492f-8925-9d1539da00e5,"[4068,4087)","[12407,12433)",T1_GP1,"{""sent_id"": ""a79"", ""start"": ""496.29"", ""end"": ""497.34"", ""text"": ""ja villech gschider""}"
128af738-8f7a-41da-afec-860884e2dcfd,"[4088,4174)","[12437,12526)",T1_GP1,"{""sent_id"": ""a80"", ""start"": ""497.48"", ""end"": ""501.04"", ""text"": ""o d\u00c3\u00a4 mit em b\u00c3\u00a4ndeli tuusche wed all inclusive hesch (.) u n\u00c3\u00a4r (unverst\u00c3\u00a4ndlich) das""}"
cefd2bcd-e668-4ae3-91ca-ef76405a65cf,"[4175,4223)","[12526,12577)",T1_GP1,"{""sent_id"": ""a81"", ""start"": ""501.07"", ""end"": ""503.11"", ""text"": ""fingi eifach die einte hei zaut u die angere nid""}"
068407b6-3439-4b23-bf7e-5fe28fded2ed,"[4224,4279)","[12577,12637)",T1_GP1,"{""sent_id"": ""a82"", ""start"": ""503.11"", ""end"": ""505.51"", ""text"": ""guet uf ne art chasch ja (.) enang usg\u00c3\u00a4 aber uf ne art""}"
4805c445-af0a-4669-97cb-5b39b255bd26,"[4280,4449)","[12641,12802)",T1_GP1,"{""sent_id"": ""a83"", ""start"": ""505.65"", ""end"": ""512.1"", ""text"": ""uf e ne art verstahnis dass wosch tuusche i meine de chasch meh h\u00c3\u00a4ufe aber du lizisch haut ds hotel wo kultur scho sowieso (.) es guets agebot macht so \u00c3\u00bcbere (.) huufe""}"
29df66bb-3b81-4fb2-b01e-d97058d61775,"[4450,4534)","[12811,12971)",T1_GP1,"{""sent_id"": ""a84"", ""start"": ""512.46"", ""end"": ""518.86"", ""text"": ""es isch aber vor auem o mhm das si gfaketi die hei gar nid \u00c3\u00bcberau (unverst\u00c3\u00a4ndlich)""}"
e16205a8-ed2e-430f-b405-39ca42a63bb1,"[4535,4537)","[13264,13277)",T1_GP1,"{""sent_id"": ""a85"", ""start"": ""530.58"", ""end"": ""531.08"", ""text"": ""ja""}"
d714c44c-63d5-4b2c-8c63-7f5b08cada12,"[4538,4558)","[13359,13395)",T1_GP1,"{""sent_id"": ""a86"", ""start"": ""534.39"", ""end"": ""535.81"", ""text"": ""hei sis \u00c3\u00b6ppe gmerkt""}"
75895e00-de60-4d01-903a-dd15498f33c8,"[4559,4562)","[13619,13634)",T1_GP1,"{""sent_id"": ""a87"", ""start"": ""544.79"", ""end"": ""545.37"", ""text"": ""was""}"
8904ee8f-003c-4bd2-b33b-cf1d1287ba08,"[4563,4628)","[13757,14037)",T1_GP1,"{""sent_id"": ""a88"", ""start"": ""550.29"", ""end"": ""561.49"", ""text"": ""guet aber das ch\u00c3\u00b6nnte ihm o eifach angeri g\u00c3\u00a4 ha wo d\u00c3\u00b6rfe (...)""}"
28547058-b089-49c2-ab01-46af56f06983,"[4629,4725)","[14037,14285)",T1_GP1,"{""sent_id"": ""a89"", ""start"": ""561.51"", ""end"": ""571.41"", ""text"": ""guet i verstahs (.) sie hei \u00c3\u00a4u\u00c3\u00a4 richtig heftig uf ds dach becho weisch (.) die agsteute (....)""}"
257fff86-ee14-43f1-9f17-3d1661f07eb0,"[4726,4796)","[14290,14377)",T1_GP1,"{""sent_id"": ""a90"", ""start"": ""571.62"", ""end"": ""575.09"", ""text"": ""es isch scho komisch aber i meine de chef het ne \u00c3\u00b6ppe hehe gseit (..)""}"
c9e884ae-04c7-426e-9447-946c3c81f430,"[4797,4874)","[14480,14612)",T1_GP1,"{""sent_id"": ""a91"", ""start"": ""579.22"", ""end"": ""584.48"", ""text"": ""aber uf ne art verstah nis no i meine im VOLG sie kontrolliere ja o niso guet""}"
9fbf8544-c516-486b-9bea-40804ec55dcc,"[4875,4896)","[15028,15067)",T1_GP1,"{""sent_id"": ""a92"", ""start"": ""601.13"", ""end"": ""602.69"", ""text"": ""wie hesch die gchouft""}"
3cdda1bc-20a0-4af7-b4d1-14c4a47f61c5,"[4897,4900)","[15288,15308)",T1_GP1,"{""sent_id"": ""a93"", ""start"": ""611.56"", ""end"": ""612.32"", ""text"": ""ahh""}"
fd69554c-1168-4525-9852-3d3ffa9301e0,"[4901,5028)","[15332,15485)",T1_GP1,"{""sent_id"": ""a94"", ""start"": ""613.28"", ""end"": ""619.4"", ""text"": ""guet aber am ne zw\u00c3\u00b6lf j\u00c3\u00a4hrige ching klar d\u00c3\u00b6rfte sies nid verchoufe aber kirschst\u00c3\u00a4ngeli wer besuuft sich mit kirschst\u00c3\u00a4ngeli""}"
c4c77202-7ac2-45e7-90be-16b6e3faec54,"[5029,5129)","[15793,15914)",T1_GP1,"{""sent_id"": ""a95"", ""start"": ""631.75"", ""end"": ""636.59"", ""text"": ""guet da hani aber  aube o scho d\u00c3\u00b6rfe vo mim vater  (.) aber eifach ja aber i has nid fein gfunge haut""}"
4f1b921e-a6a4-453a-b203-c6697e7358f8,"[5130,5137)","[15916,15965)",T1_GP1,"{""sent_id"": ""a96"", ""start"": ""636.66"", ""end"": ""638.62"", ""text"": ""gruusig""}"
48d9559a-c053-456c-b3bb-320c66857896,"[5138,5235)","[16195,16305)",T1_GP1,"{""sent_id"": ""a97"", ""start"": ""647.82"", ""end"": ""652.2"", ""text"": ""u ig scho numme (.) mi vater het einisch so baileys gno u so es schl\u00c3\u00bcckli d\u00c3\u00b6rfe porbiere u i so""}"
64e3d923-ae0f-4634-a410-190aa7fb12b7,"[5236,5246)","[16321,16378)",T1_GP1,"{""sent_id"": ""a98"", ""start"": ""652.86"", ""end"": ""655.12"", ""text"": ""es chrazet""}"
2d61cb7b-6a8d-4326-a032-b70a25f02d11,"[5247,5263)","[16441,16460)",T1_GP1,"{""sent_id"": ""a99"", ""start"": ""657.66"", ""end"": ""658.42"", ""text"": ""wii isch gruusig""}"
8751f52c-2fc2-4e8a-8799-0b5dc7193e32,"[5264,5275)","[16484,16532)",T1_GP1,"{""sent_id"": ""a100"", ""start"": ""659.38"", ""end"": ""661.28"", ""text"": ""w\u00c3\u00a4\u00c3\u00a4 w\u00c3\u00a4\u00c3\u00a4""}"
